UTC,PCTime,cruise_number,acoustic_observer,ac_effort,vis_effort,ot_effort
5/14/2013 20:45,5/14/2013 20:45,1303,SC,on,vch,S
5/14/2013 20:45,5/14/2013 20:45,1303,SC,on,vch,S
5/14/2013 21:56,5/14/2013 21:38,1303,SC,on,vch,S
5/15/2013 0:58,5/15/2013 0:58,1303,SC,on,off,S
5/15/2013 1:17,5/15/2013 1:17,1303,JT,on,off,S
5/15/2013 1:44,5/15/2013 1:44,1303,JT,on,on,S
5/15/2013 1:52,5/15/2013 1:52,1303,PR,on,on,S
5/15/2013 3:01,5/15/2013 3:01,1303,YB,on,on,S
5/15/2013 3:21,5/15/2013 3:21,1303,SC,on,on,S
5/15/2013 4:39,5/15/2013 4:39,1303,SC,on,on,S
5/15/2013 5:06,5/15/2013 5:05,1303,SC,on,vch,S
5/15/2013 5:36,5/15/2013 5:36,1303,SC,on,ach,S
5/15/2013 5:38,5/15/2013 5:38,1303,SC,on,off,S
5/15/2013 5:40,5/15/2013 5:40,1303,SC,off,off,S
5/15/2013 16:45,5/15/2013 16:45,1303,SC,off,on,S
5/15/2013 16:45,5/15/2013 16:45,1303,SC,off,on,S
5/15/2013 16:57,5/15/2013 16:57,1303,SC,on,on,S
5/15/2013 17:01,5/15/2013 17:01,1303,SC,on,on,S
5/15/2013 18:01,5/15/2013 18:01,1303,PR,on,on,S
5/15/2013 19:13,5/15/2013 19:13,1303,SC,on,on,S
5/15/2013 19:24,5/15/2013 19:24,1303,SC,off,off,S
5/15/2013 19:25,5/15/2013 19:25,1303,SC,on,on,S
5/15/2013 20:07,5/15/2013 20:07,1303,YB,on,on,S
5/15/2013 21:23,5/15/2013 21:23,1303,YB,on,vch,S
5/15/2013 21:28,5/15/2013 21:28,1303,JT,on,vch,S
5/15/2013 21:39,5/15/2013 21:39,1303,JT,on,vch,S
5/15/2013 21:39,5/15/2013 21:39,1303,JT,on,vch,S
5/15/2013 21:40,5/15/2013 21:40,1303,JT,off,vch,S
5/15/2013 21:45,5/15/2013 21:45,1303,JT,on,vch,S
5/15/2013 22:57,5/15/2013 22:57,1303,YB,on,vch,S
5/15/2013 23:25,5/15/2013 23:25,1303,YB,off,vch,S
5/15/2013 23:28,5/15/2013 23:28,1303,YB,on,vch,S
5/15/2013 23:31,5/15/2013 23:31,1303,YB,on,vch,S
5/15/2013 23:35,5/15/2013 23:35,1303,YB,on,vch,S
5/15/2013 23:57,5/15/2013 23:57,1303,YB,on,vch,S
5/16/2013 0:14,5/16/2013 0:14,1303,YB,off,off,S
5/16/2013 0:18,5/16/2013 0:18,1303,YB,on,off,S
5/16/2013 0:47,5/16/2013 0:47,1303,YB,on,on,S
5/16/2013 0:49,5/16/2013 0:49,1303,YB,off,on,S
5/16/2013 0:50,5/16/2013 0:50,1303,YB,on,on,S
5/16/2013 0:58,5/16/2013 0:58,1303,SC,on,on,S
5/16/2013 1:03,5/16/2013 1:03,1303,SC,on,on,S
5/16/2013 1:15,5/16/2013 1:15,1303,SC,on,on,S
5/16/2013 1:15,5/16/2013 1:15,1303,SC,on,ach,S
5/16/2013 1:35,5/16/2013 1:35,1303,SC,on,ach,S
5/16/2013 1:49,5/16/2013 1:49,1303,SC,off,ach,S
5/16/2013 2:18,5/16/2013 2:18,1303,SC,on,ach,S
5/16/2013 2:18,5/16/2013 2:18,1303,SC,off,ach,S
5/16/2013 2:22,5/16/2013 2:22,1303,SC,on,ach,S
5/16/2013 5:02,5/16/2013 5:02,1303,SC,off,ach,S
5/16/2013 5:16,5/16/2013 5:16,1303,SC,on,ach,S
5/16/2013 5:16,5/16/2013 5:16,1303,SC,off,ach,S
5/16/2013 5:17,5/16/2013 5:17,1303,SC,off,off,S
5/16/2013 16:41,5/16/2013 16:41,1303,SC,off,on,S
5/16/2013 16:50,5/16/2013 16:50,1303,SC,on,on,S
5/16/2013 16:50,5/16/2013 16:50,1303,SC,on,on,S
5/16/2013 17:42,5/16/2013 17:42,1303,YB,on,on,S
5/16/2013 18:06,5/16/2013 18:06,1303,YB,off,on,S
5/16/2013 18:10,5/16/2013 18:10,1303,PR,on,on,S
5/16/2013 18:10,5/16/2013 18:10,1303,PR,on,on,S
5/16/2013 19:01,5/16/2013 19:01,1303,JT,on,on,S
5/16/2013 20:19,5/16/2013 20:19,1303,JT,on,on,S
5/16/2013 21:15,5/16/2013 21:15,1303,JT,on,vch,S
5/16/2013 22:14,5/16/2013 22:14,1303,SC,on,vch,S
5/16/2013 22:39,5/16/2013 22:39,1303,SC,off,vch,S
5/16/2013 22:43,5/16/2013 22:43,1303,SC,on,vch,S
5/16/2013 23:07,5/16/2013 23:07,1303,SC,on,vch,S
5/16/2013 23:17,5/16/2013 23:17,1303,SC,on,on,S
5/17/2013 0:05,5/17/2013 0:05,1303,YB,on,on,S
5/17/2013 0:38,5/17/2013 0:38,1303,YB,on,vch,S
5/17/2013 0:57,5/17/2013 0:57,1303,YB,on,vch,S
5/17/2013 1:01,5/17/2013 1:01,1303,YB,on,on,S
5/17/2013 2:08,5/17/2013 2:08,1303,JT,on,on,S
5/17/2013 3:58,5/17/2013 3:58,1303,JT,on,vch,S
5/17/2013 3:59,5/17/2013 3:59,1303,JT,on,vch,S
5/17/2013 4:05,5/17/2013 4:05,1303,SC,on,vch,S
5/17/2013 4:51,5/17/2013 4:51,1303,SC,off,vch,S
5/17/2013 5:09,5/17/2013 5:09,1303,SC,on,vch,S
5/17/2013 5:17,5/17/2013 5:17,1303,SC,off,vch,S
5/17/2013 5:26,5/17/2013 5:26,1303,YB,on,vch,S
5/17/2013 5:56,5/17/2013 5:56,1303,YB,off,vch,S
5/17/2013 5:59,5/17/2013 5:59,1303,YB,off,off,S
5/17/2013 16:22,5/17/2013 16:22,1303,YB,off,off,S
5/17/2013 16:31,5/17/2013 16:31,1303,YB,off,off,S
5/18/2013 1:37,5/18/2013 1:37,1303,JT,on,off,S
5/18/2013 2:00,5/18/2013 2:00,1303,JT,on,on,S
5/18/2013 3:01,5/18/2013 3:01,1303,JT,on,on,S
5/18/2013 3:48,5/18/2013 3:48,1303,SC,on,on,S
5/18/2013 5:07,5/18/2013 4:41,1303,YB,on,vch,S
5/18/2013 5:53,5/18/2013 5:53,1303,YB,off,vch,S
5/18/2013 6:05,5/18/2013 6:05,1303,YB,off,off,S
5/18/2013 16:41,5/18/2013 16:41,1303,JT,off,off,S
5/18/2013 16:43,5/18/2013 16:43,1303,JT,on,off,S
5/18/2013 16:46,5/18/2013 16:46,1303,JT,on,off,S
5/18/2013 16:53,5/18/2013 16:53,1303,JT,on,on,S
5/18/2013 17:16,5/18/2013 17:16,1303,JT,on,vch,S
5/18/2013 18:03,5/18/2013 18:03,1303,JT,on,vch,S
5/18/2013 18:20,5/18/2013 18:20,1303,SC,off,off,S
5/18/2013 18:22,5/18/2013 18:22,1303,SC,on,on,S
5/18/2013 20:03,5/18/2013 20:03,1303,SC,on,ach,S
5/18/2013 20:13,5/18/2013 20:13,1303,SC,on,vch,S
5/18/2013 20:13,5/18/2013 20:13,1303,YB,on,vch,S
5/18/2013 20:27,5/18/2013 20:27,1303,YB,on,off,S
5/18/2013 20:40,5/18/2013 20:40,1303,YB,on,on,S
5/18/2013 21:08,5/18/2013 21:08,1303,JT,on,on,S
